voltage, time
0.20663,6.3401
0.21238,6.3487
0.21275,6.3572
0.21363,6.3658
0.19525,6.3743
0.20813,6.3829
0.21525,6.3914
0.2165,6.4
0.209,6.4086
0.21638,6.4171
0.21375,6.4257
0.21588,6.4342
0.208,6.4428
0.21488,6.4513
0.20775,6.4599
0.21388,6.4684
0.20087,6.477
0.20988,6.4856
0.19825,6.4941
0.212,6.5027
0.21513,6.5112
0.21,6.5198
0.20162,6.5283
0.199,6.5369
0.21488,6.5455
0.214,6.554
0.2135,6.5626
0.2155,6.5711
0.20025,6.5797
0.2155,6.5882
0.21588,6.5968
0.21475,6.6053
0.20563,6.6139
0.21238,6.6225
0.212,6.631
0.21663,6.6396
0.21088,6.6481
0.21675,6.6567
0.21725,6.6652
0.2145,6.6738
0.20638,6.6824
0.21563,6.6909
0.21475,6.6995
0.207,6.708
0.21038,6.7166
0.20763,6.7251
0.20675,6.7337
0.205,6.7422
0.21875,6.7508
0.214,6.7594
0.21813,6.7679
0.20413,6.7765
0.20938,6.785
0.20625,6.7936
0.204,6.8021
0.20838,6.8107
0.22112,6.8193
0.21363,6.8278
0.22025,6.8364
0.22137,6.8449
0.22175,6.8535
0.21838,6.862
0.21625,6.8706
0.20713,6.8791
0.22162,6.8877
0.21638,6.8963
0.2055,6.9048
0.20825,6.9134
0.2215,6.9219
0.223,6.9305
0.22075,6.939
0.21788,6.9476
0.2195,6.9561
0.2185,6.9647
0.22312,6.9733
0.22175,6.9818
0.20913,6.9904
0.21525,6.9989
0.22137,7.0075
0.22537,7.016
0.21775,7.0246
0.21025,7.0332
0.211,7.0417
0.21775,7.0503
0.20838,7.0588
0.2075,7.0674
0.21912,7.0759
0.22587,7.0845
0.22262,7.093
0.21937,7.1016
0.21675,7.1102
0.214,7.1187
0.20938,7.1273
0.21738,7.1358
0.23312,7.1444
0.22625,7.1529
0.24263,7.1615
0.23412,7.1701
0.22287,7.1786
0.23625,7.1872
0.247,7.1957
0.24663,7.2043
0.2265,7.2128
0.22112,7.2214
0.22937,7.2299
0.23425,7.2385
0.2315,7.2471
0.24075,7.2556
0.235,7.2642
0.24125,7.2727
0.23475,7.2813
0.228,7.2898
0.23075,7.2984
0.221,7.307
0.23775,7.3155
0.24238,7.3241
0.23925,7.3326
0.24225,7.3412
0.21825,7.3497
0.22225,7.3583
0.23237,7.3668
0.24375,7.3754
0.242,7.384
0.23975,7.3925
0.225,7.4011
0.23775,7.4096
0.24025,7.4182
0.24063,7.4267
0.238,7.4353
0.2425,7.4439
0.23137,7.4524
0.24138,7.461
0.23362,7.4695
0.22812,7.4781
0.23062,7.4866
0.22375,7.4952
0.22412,7.5037
0.23375,7.5123
0.22025,7.5209
0.22725,7.5294
0.22262,7.538
0.22,7.5465
0.217,7.5551
0.21688,7.5636
0.22675,7.5722
0.22087,7.5807
0.2265,7.5893
0.22112,7.5979
0.22962,7.6064
0.22362,7.615
0.23412,7.6235
0.23337,7.6321
0.23062,7.6406
0.23975,7.6492
2.7517,7.6578
2.5634,7.6663
2.3964,7.6749
2.337,7.6834
2.2896,7.692
2.2594,7.7005
2.2511,7.7091
2.2325,7.7176
2.2458,7.7262
2.2449,7.7348
2.2324,7.7433
2.2311,7.7519
2.267,7.7604
2.2578,7.769
2.27,7.7775
2.2636,7.7861
2.2851,7.7947
2.2791,7.8032
2.2877,7.8118
2.2753,7.8203
2.2899,7.8289
2.2829,7.8374
2.3,7.846
2.2865,7.8545
2.3034,7.8631
2.2969,7.8717
2.2779,7.8802
2.2715,7.8888
2.3192,7.8973
2.317,7.9059
2.3251,7.9144
2.3155,7.923
2.3564,7.9316
2.3366,7.9401
2.3785,7.9487
2.3857,7.9572
2.4139,7.9658
2.4024,7.9743
2.4284,7.9829
2.419,7.9914
2.4009,8
2.39,8.0086
2.4371,8.0171
2.4255,8.0257
2.4436,8.0342
2.4255,8.0428
2.4549,8.0513
2.4468,8.0599
2.4647,8.0684
2.4499,8.077
2.4715,8.0856
2.4605,8.0941
2.4759,8.1027
2.4688,8.1112
2.4856,8.1198
2.478,8.1283
2.4933,8.1369
2.4539,8.1455
2.5046,8.154
2.4931,8.1626
2.513,8.1711
2.5041,8.1797
2.5288,8.1882
2.5143,8.1968
2.5217,8.2053
2.5131,8.2139
2.5282,8.2225
2.5141,8.231
2.5263,8.2396
2.5177,8.2481
2.5899,8.2567
2.5774,8.2652
2.6357,8.2738
2.6214,8.2824
2.5989,8.2909
2.5904,8.2995
2.5815,8.308
2.5524,8.3166
2.593,8.3251
2.5926,8.3337
2.5886,8.3422
2.5861,8.3508
2.5945,8.3594
2.5934,8.3679
2.5943,8.3765
2.5938,8.385
2.605,8.3936
2.6042,8.4021
2.6084,8.4107
2.5896,8.4193
2.6128,8.4278
2.6101,8.4364
2.6162,8.4449
2.5736,8.4535
2.6176,8.462
2.617,8.4706
2.6223,8.4791
2.6161,8.4877
2.6279,8.4963
2.6294,8.5048
2.6191,8.5134
2.6121,8.5219
2.6284,8.5305
2.6156,8.539
2.626,8.5476
2.5999,8.5561
2.6171,8.5647
2.6077,8.5733
2.6396,8.5818
2.6328,8.5904
2.6539,8.5989
2.6456,8.6075
2.657,8.616
2.6401,8.6246
2.6749,8.6332
2.6643,8.6417
2.7099,8.6503
2.671,8.6588
2.6824,8.6674
2.6698,8.6759
2.7011,8.6845
2.6756,8.693
4.0959,8.7016
4.0049,8.7102
2.6365,8.7187
2.6309,8.7273
2.6564,8.7358
2.6325,8.7444
2.6739,8.7529
2.661,8.7615
2.6917,8.7701
2.7111,8.7786
2.7225,8.7872
2.72,8.7957
2.7315,8.8043
2.7159,8.8128
2.7399,8.8214
2.7366,8.8299
2.7314,8.8385
2.7404,8.8471
2.7514,8.8556
2.7501,8.8642
2.7424,8.8727
2.7471,8.8813
2.7366,8.8898
2.7225,8.8984
2.7531,8.907
2.7615,8.9155
2.7668,8.9241
2.7701,8.9326
2.7766,8.9412
2.768,8.9497
2.7837,8.9583
2.7831,8.9668
2.7791,8.9754
2.7854,8.984
2.7809,8.9925
2.7831,9.0011
2.8028,9.0096
2.7938,9.0182
2.8236,9.0267
2.829,9.0353
2.8478,9.0439
2.8315,9.0524
2.8619,9.061
2.8465,9.0695
2.8335,9.0781
2.8446,9.0866
2.8678,9.0952
2.845,9.1037
2.8679,9.1123
2.8526,9.1209
2.8621,9.1294
2.8491,9.138
2.8604,9.1465
2.8501,9.1551
2.8296,9.1636
2.8326,9.1722
2.8298,9.1807
2.835,9.1893
2.8539,9.1979
2.8497,9.2064
2.8626,9.215
2.8501,9.2235
2.8592,9.2321
2.8494,9.2406
2.8701,9.2492
2.8621,9.2578
2.8749,9.2663
2.8581,9.2749
2.8718,9.2834
2.8651,9.292
2.8862,9.3005
2.8687,9.3091
2.8599,9.3176
2.8529,9.3262
2.8999,9.3348
2.8775,9.3433
2.9031,9.3519
2.8816,9.3604
2.885,9.369
2.9195,9.3775
2.9249,9.3861
2.9209,9.3947
2.897,9.4032
2.8799,9.4118
2.8937,9.4203
2.8504,9.4289
2.8715,9.4374
2.8635,9.446
2.8754,9.4545
2.8655,9.4631
2.8685,9.4717
2.8661,9.4802
2.8731,9.4888
2.8694,9.4973
2.8734,9.5059
2.8689,9.5144
2.894,9.523
2.8929,9.5316
2.8976,9.5401
2.8969,9.5487
2.9199,9.5572
2.9066,9.5658
2.8924,9.5743
2.8843,9.5829
2.9044,9.5914
2.897,9.6
2.9381,9.6086
2.9156,9.6171
2.9311,9.6257
2.9234,9.6342
2.9421,9.6428
2.9324,9.6513
2.9535,9.6599
2.9468,9.6684
2.959,9.677
2.9503,9.6856
2.9614,9.6941
2.9531,9.7027
2.979,9.7112
2.9906,9.7198
2.9909,9.7283
2.9734,9.7369
3.0056,9.7455
3.0187,9.754
3.0149,9.7626
3.021,9.7711
3.0129,9.7797
3.0014,9.7882
2.9955,9.7968
3.0075,9.8053
3.0004,9.8139
2.9969,9.8225
3.0216,9.831
3.0251,9.8396
3.0042,9.8481
3.026,9.8567
3.013,9.8652
3.0256,9.8738
3.0224,9.8824
3.0387,9.8909
3.0364,9.8995
3.0402,9.908
3.0383,9.9166
3.0216,9.9251
3.027,9.9337
3.0359,9.9422
3.0296,9.9508
3.058,9.9594
3.0611,9.9679
3.0722,9.9765
3.0762,9.985
3.0968,9.9936
3.0964,10.002
3.0986,10.011
3.1091,10.019
3.1179,10.028
3.1201,10.036
3.0945,10.045
3.1023,10.053
3.1172,10.062
3.11,10.071
3.1015,10.079
3.1226,10.088
3.119,10.096
3.1316,10.105
3.1055,10.113
3.134,10.122
3.121,10.13
3.1747,10.139
3.188,10.148
3.1996,10.156
3.1889,10.165
3.1433,10.173
3.1299,10.182
3.1356,10.19
3.1169,10.199
3.1271,10.207
3.1025,10.216
3.107,10.225
3.1001,10.233
3.1214,10.242
3.1114,10.25
3.1315,10.259
3.1235,10.267
3.1426,10.276
3.1344,10.284
3.1507,10.293
3.1476,10.302
3.1741,10.31
3.1604,10.319
3.1634,10.327
3.151,10.336
3.1858,10.344
3.1905,10.353
3.1939,10.361
3.2015,10.37
3.1791,10.379
3.1791,10.387
3.2353,10.396
3.2048,10.404
3.2094,10.413
3.2058,10.421
0.069125,10.43
0.0695,10.439
0.073,10.447
0.070625,10.456
0.0715,10.464
0.073875,10.473
0.07375,10.481
